,Jméno,Titul,Věk,Strana,Navrhující_strana,Politická_příslušnost,Číslo_na_kandidátce,Hlasy_počet,Hlasy_procenta,Pořadí_zvolení_náhradníka,Mandát,Rok_kandidatury
1737,Bejšovcová Ingrid Ing.,Ing.,62,Sdružení Mostečané Mostu,NK,BEZPP,40,2373,2.14,32,0,2018
1738,Belej Milan,,48,Komunistická str.Čech a Moravy,KSČM,KSČM,16,1251,2.2800000000000002,12,0,2018
1739,Belej Radek,,43,Komunistická str.Čech a Moravy,KSČM,KSČM,1,1420,2.58,2,1,2018
1740,Benda Petr,,54,Otevřená radnice Most,Hora 2014,BEZPP,38,350,2.05,0,0,2018
1741,Bendová Jaroslava Mgr. Bc.,Mgr.,65,Občanská demokratická strana,ODS,ODS,17,1278,2.19,14,0,2018
1742,Beneš Vít,,20,Piráti a Zelení pro Most,Piráti,BEZPP,33,1303,2.14,29,0,2018
1743,Beneš Zdeněk,,51,Svob.a př.dem.-T.Okamura (SPD),SPD,SPD,2,801,2.56,0,0,2018
1744,Benešová Eva,,33,Hnutí za zrovnopráv. maminek,NK,BEZPP,18,102,2.15,0,0,2018
1745,Benešová Lucie,,40,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,17,711,2.27,0,0,2018
1746,Berger František,,58,Sdružení Mostečané Mostu,NK,BEZPP,27,2449,2.21,19,0,2018
1747,Berchinová Linda,,19,Piráti a Zelení pro Most,Piráti,BEZPP,15,1360,2.24,11,0,2018
1748,Bidmon Libor,,20,Česká str.sociálně demokrat.,ČSSD,ČSSD,42,459,2.0300000000000002,0,0,2018
1749,Bížová Zdeňka,,36,Hnutí za zrovnopráv. maminek,NK,BEZPP,30,88,1.86,0,0,2018
1750,Blažková Jitka Mgr.,Mgr.,60,Piráti a Zelení pro Most,Zelení,BEZPP,22,1358,2.23,18,0,2018
1751,Bodláková Olga,,45,Starost. a nezáv. s podp.Toryů,NK,BEZPP,21,211,2.1,0,0,2018
1752,Bohuslav Jan,,44,ProMOST,ProMOST,BEZPP,41,4149,2.08,25,0,2018
1753,Bombera Piskačová Lenka Ing. BBA,Ing.,42,Česká str.sociálně demokrat.,ČSSD,ČSSD,32,521,2.31,0,0,2018
1754,Borůvka Jaroslav Bc.,Bc.,25,ANO 2011,ANO,BEZPP,29,2460,2.2,20,0,2018
1755,Boula David,,45,Svob.a př.dem.-T.Okamura (SPD),SPD,SPD,9,730,2.33,0,0,2018
1756,Brabec Zdeněk,,61,Česká str.sociálně demokrat.,ČSSD,ČSSD,1,642,2.84,0,0,2018
1757,Breckl Ervín,,61,Sdružení Mostečané Mostu,NK,BEZPP,28,2406,2.17,20,0,2018
1758,Brožová Kamila,,36,Hnutí za zrovnopráv. maminek,NK,BEZPP,39,94,1.98,0,0,2018
1759,Brusch Jiří,,62,ANO 2011,ANO,BEZPP,17,2501,2.24,8,0,2018
1760,Brychtová Iveta,,44,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,35,691,2.21,0,0,2018
1761,Brynda Dalibor Ing.,Ing.,87,Česká str.sociálně demokrat.,ČSSD,ČSSD,29,490,2.17,0,0,2018
1762,Budoš Adam,,40,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,7,740,2.36,0,0,2018
1763,Budošová Eva,,39,Svob.a př.dem.-T.Okamura (SPD),SPD,SPD,1,812,2.6,0,0,2018
1764,Budošová Stanislava,,72,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,31,694,2.22,0,0,2018
1765,Burdová Eva,,33,Česká str.sociálně demokrat.,ČSSD,ČSSD,14,487,2.16,0,0,2018
1766,Buriánek Miroslav,,52,Občanská demokratická strana,ODS,BEZPP,26,1246,2.13,22,0,2018
1767,Buriánková Barbora,,43,Občanská demokratická strana,ODS,BEZPP,40,1160,1.99,36,0,2018
1768,Cakl Jan,,43,Česká str.sociálně demokrat.,ČSSD,ČSSD,31,480,2.13,0,0,2018
1769,Cee Jan MUDr.,MUDr.,63,Sdružení Mostečané Mostu,NK,BEZPP,1,2912,2.62,1,1,2018
1770,Cílková Táňa Ing.,Ing.,56,ProMOST,ProMOST,BEZPP,22,4411,2.21,6,0,2018
1771,Coufal Jan,,23,Piráti a Zelení pro Most,Piráti,BEZPP,13,1350,2.22,10,0,2018
1772,Čapek David,,35,Starost. a nezáv. s podp.Toryů,NK,BEZPP,19,202,2.0100000000000002,0,0,2018
1773,Čapková Irena Ing.,Ing.,60,Sdružení Mostečané Mostu,NS,S.cz,7,2561,2.31,8,1,2018
1774,Čech Miloslav Bc.,Bc.,38,ProMOST,ProMOST,BEZPP,26,4330,2.17,10,0,2018
1775,Čepelák Jiří Bc.,Bc.,51,Piráti a Zelení pro Most,Piráti,BEZPP,27,1330,2.19,23,0,2018
1776,Černá Marcela Mgr.,Mgr.,45,Otevřená radnice Most,Hora 2014,BEZPP,4,530,3.1,0,0,2018
1777,Černík Vladimír,,57,Česká str.sociálně demokrat.,ČSSD,ČSSD,10,525,2.33,0,0,2018
1778,Dalecká Alena MUDr.,MUDr.,63,Starost. a nezáv. s podp.Toryů,NK,BEZPP,10,356,3.5500000000000003,0,0,2018
1779,Dalecká Tereza Bc.,Bc.,28,Starost. a nezáv. s podp.Toryů,NK,TOR,37,186,1.85,0,0,2018
1780,Dalecký Roman Ing.,Ing.,33,Starost. a nezáv. s podp.Toryů,NK,TOR,2,456,4.54,0,0,2018
1781,Dalecký Roman Ing.,Ing.,60,Starost. a nezáv. s podp.Toryů,NK,BEZPP,43,189,1.8800000000000001,0,0,2018
1782,Dekojová Martina Bc.,Bc.,40,Otevřená radnice Most,Hora 2014,BEZPP,18,365,2.13,0,0,2018
1783,Dernerová Alena MUDr.,MUDr.,60,ProMOST,ProMOST,BEZPP,2,5239,2.63,1,1,2018
1784,Diviš Luděk Ing.,Ing.,50,Starost. a nezáv. s podp.Toryů,NK,BEZPP,6,291,2.9,0,0,2018
1785,Doležalová Jana Ing.,Ing.,50,Otevřená radnice Most,Hora 2014,BEZPP,39,346,2.02,0,0,2018
1786,Doležalová Kristina,,30,Komunistická str.Čech a Moravy,KSČM,KSČM,19,1202,2.19,15,0,2018
1787,Domín Martin Bc.,Bc.,23,Sdružení Mostečané Mostu,NS,BEZPP,2,2527,2.2800000000000002,4,1,2018
1788,Drtík Daniel MUDr.,MUDr.,47,Občanská demokratická strana,ODS,ODS,1,1911,3.27,1,1,2018
1789,Dudová Zuzana,,33,Hnutí za zrovnopráv. maminek,NK,BEZPP,4,118,2.49,0,0,2018
1790,Duffková Dagmar Ing.,Ing.,65,ANO 2011,ANO,BEZPP,13,2516,2.25,4,0,2018
1791,Dunovský Daniel Bc.,Bc.,44,ProMOST,ProMOST,BEZPP,10,4491,2.25,10,1,2018
1792,Durdisová Lucie,,21,Česká str.sociálně demokrat.,ČSSD,ČSSD,9,519,2.3000000000000003,0,0,2018
1793,Dvorščáková Jitka,,40,Starost. a nezáv. s podp.Toryů,NK,BEZPP,42,178,1.77,0,0,2018
1794,Egnerová Kateřina,,26,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,44,646,2.06,0,0,2018
1795,Egnerová Šárka,,49,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,33,696,2.22,0,0,2018
1796,Erlitzová Alena,,61,Sdružení Mostečané Mostu,NK,BEZPP,43,2265,2.04,35,0,2018
1797,Fabian Alois,,57,ANO 2011,ANO,BEZPP,39,2372,2.12,30,0,2018
1798,Fabianová Silvie,,20,Otevřená radnice Most,Hora 2014,BEZPP,26,370,2.16,0,0,2018
1799,Faltys Zdeněk Ing.,Ing.,57,Starost. a nezáv. s podp.Toryů,NK,BEZPP,39,197,1.96,0,0,2018
1800,Faltysová Ivana Mgr.,Mgr.,56,Starost. a nezáv. s podp.Toryů,NK,BEZPP,41,196,1.95,0,0,2018
1801,Farský Josef,,48,Starost. a nezáv. s podp.Toryů,NK,BEZPP,33,207,2.06,0,0,2018
1802,Fencl Miroslav,,56,Sdružení Mostečané Mostu,NS,S.cz,11,2466,2.22,4,0,2018
1803,Fiala Josef,,48,Svob.a př.dem.-T.Okamura (SPD),SPD,SPD,8,755,2.41,0,0,2018
1804,Fiala Karel,,38,Piráti a Zelení pro Most,Piráti,BEZPP,23,1331,2.19,19,0,2018
1805,Fidlerová Yvetta MUDr.,MUDr.,59,ANO 2011,ANO,BEZPP,14,2587,2.31,5,0,2018
1806,Fieron Petr,,47,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,22,702,2.24,0,0,2018
1807,Fieronová Marie,,42,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,38,682,2.18,0,0,2018
