,Jméno,Titul,Věk,Strana,Navrhující_strana,Politická_příslušnost,Číslo_na_kandidátce,Hlasy_počet,Hlasy_procenta,Pořadí_zvolení_náhradníka,Mandát,Rok_kandidatury
238,Pobuda Zdeněk,,45,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,25,676,1.8,23,0,2002
239,Polanský Luboš Ing.Arch.,Ing.Arch.,30,Unie svobody-Demokratická unie,US-DEU,US-DEU,9,699,6.49,0,0,2002
240,Poliček Pavel,,40,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,34,800,2.13,31,0,2002
241,Polívka Jiří,,50,Komunistická str.Čech a Moravy,KSČM,KSČM,16,3734,2.24,2,0,2002
242,Polívka Michal,,35,Komunistická str.Čech a Moravy,KSČM,KSČM,21,3741,2.25,7,0,2002
243,Ponertová Jevgenija Ing.,Ing.,40,Sdružení nezávislých,SNK ED,BEZPP,22,1266,1.99,17,0,2002
244,Popelka Josef Ing.,Ing.,58,Komunistická str.Čech a Moravy,KSČM,KSČM,41,3512,2.11,27,0,2002
245,Pošta Rudolf,,44,Sdružení nezávislých,SNK ED,BEZPP,42,1114,1.75,37,0,2002
246,Potůček Jaroslav,,55,Str.pro otevřenou společnost,SOS,BEZPP,45,1209,1.75,40,0,2002
247,Pova Josef,,55,Komunistická str.Čech a Moravy,KSČM,KSČM,18,3736,2.24,4,0,2002
248,Povová Eliška,,51,Česká str.sociálně demokrat.,ČSSD,ČSSD,21,1999,2.36,14,0,2002
249,Pracný Petr,,35,Komunistická str.Čech a Moravy,KSČM,KSČM,17,3732,2.24,3,0,2002
250,Procházka Miloslav,,60,"Koalice KDU-ČSL, SZ",SZ,BEZPP,39,282,1.61,0,0,2002
251,Procházková Jitka,,37,"Koalice KDU-ČSL, SZ",SZ,BEZPP,18,392,2.24,0,0,2002
252,Procházková Marcela Mgr.,Mgr.,53,"Koalice KDU-ČSL, SZ",SZ,SZ,4,512,2.93,0,0,2002
253,Procházková Romana MUDr.,MUDr.,38,Sdružení nezávislých,SNK ED,BEZPP,30,1445,2.27,25,0,2002
254,Prokeš Radek,,28,Komunistická str.Čech a Moravy,KSČM,BEZPP,24,3692,2.22,10,0,2002
255,Prošková Dagmar Ing.,Ing.,38,Sdružení nezávislých,SNK ED,BEZPP,9,1524,2.39,7,0,2002
256,Průcha Otta Ing.,Ing.,49,Str.pro otevřenou společnost,SOS,BEZPP,9,1655,2.39,6,0,2002
257,Průša Miroslav,,47,Sdružení nezávislých,SNK ED,BEZPP,45,1047,1.64,40,0,2002
258,Průšová Alena,,39,Sdružení nezávislých,SNK ED,BEZPP,11,1380,2.17,9,0,2002
259,Přibyl František,,50,Str.pro otevřenou společnost,SOS,BEZPP,34,1433,2.07,29,0,2002
260,Ptáček Oldřich,,76,Sdružení nezávislých,SNK ED,BEZPP,35,1227,1.93,30,0,2002
261,Raškovová Veronika,,27,Občanská demokratická strana,ODS,ODS,26,3048,2.16,15,0,2002
262,Ratiborský Tomáš,,49,Občanská demokratická strana,ODS,ODS,10,3331,2.36,1,0,2002
263,Rohanová Markéta,,26,Unie svobody-Demokratická unie,US-DEU,US-DEU,41,324,3.01,0,0,2002
264,Rovnerová Eva MUDr.,MUDr.,51,"Koalice KDU-ČSL, SZ",KDU-ČSL,KDU-ČSL,1,937,5.37,0,0,2002
265,Rychlý Leo MUDr.,MUDr.,55,Sdružení nezávislých,SNK ED,BEZPP,19,1914,3.01,3,1,2002
266,Řehák Zdeněk Ing.,Ing.,69,Str.pro otevřenou společnost,SOS,BEZPP,8,1596,2.31,5,0,2002
267,Říha Stanislav,,74,Unie svobody-Demokratická unie,US-DEU,US-DEU,21,319,2.96,0,0,2002
268,Říman Mojmír MUDr.,MUDr.,71,Občanská demokratická strana,ODS,ODS,25,3109,2.2,14,0,2002
269,Sadílek Václav,,57,Unie svobody-Demokratická unie,US-DEU,US-DEU,6,451,4.19,0,0,2002
270,Salač Stanislav Ing.,Ing.,33,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,8,971,2.58,5,0,2002
271,Seidl Rudolf Ing.,Ing.,52,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,13,725,1.93,12,0,2002
272,Severini Jan,,52,Česká str.sociálně demokrat.,ČSSD,ČSSD,13,1898,2.24,7,0,2002
273,Scheithauer Jan,,32,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,38,674,1.79,35,0,2002
274,Schneiderová Blanka,,39,Sdružení nezávislých,SNK ED,BEZPP,20,1282,2.01,16,0,2002
275,Siblíková Jolana,,28,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,44,573,1.52,41,0,2002
276,Sichrovská Ilona,,43,Sdružení nezávislých,SNK ED,BEZPP,28,1239,1.94,23,0,2002
277,Skalický Karel,,77,"Koalice KDU-ČSL, SZ",SZ,BEZPP,45,245,1.4,0,0,2002
278,Sklenář Marek,,30,Sdružení nezávislých,SNK ED,BEZPP,33,1218,1.91,28,0,2002
279,Slepánek Bohuslav,,53,"Koalice KDU-ČSL, SZ",SZ,BEZPP,21,329,1.88,0,0,2002
280,Smolík Josef Ing.,Ing.,34,Občanská demokratická strana,ODS,ODS,39,2895,2.05,28,0,2002
281,Soukup Martin,,31,Sdružení nezávislých,SNK ED,BEZPP,10,1405,2.21,8,0,2002
282,Stanková Eva,,44,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,36,676,1.8,33,0,2002
283,Steiner Pavel,,56,"Koalice KDU-ČSL, SZ",KDU-ČSL,KDU-ČSL,16,360,2.06,0,0,2002
284,Stögerová Ivana,,37,Občanská demokratická strana,ODS,ODS,33,2991,2.12,22,0,2002
285,Strakoš Martin Bc.,Bc.,33,Česká str.sociálně demokrat.,ČSSD,ČSSD,10,1986,2.34,4,0,2002
286,Strejc Tomáš,,29,Občanská demokratická strana,ODS,ODS,11,3157,2.23,2,0,2002
287,Suchý Josef,,52,"Koalice KDU-ČSL, SZ",SZ,SZ,2,474,2.71,0,0,2002
288,Suchý Vítězslav Ing.,Ing.,60,Komunistická str.Čech a Moravy,KSČM,KSČM,14,3683,2.21,14,1,2002
289,Suk Radek,,32,Sdružení nezávislých,SNK ED,BEZPP,17,1328,2.09,14,0,2002
290,Svoboda Karel,,61,Republikáni Miroslava Sládka,RMS,RMS,4,78,11.57,0,0,2002
291,Svoboda Vojtěch,,32,Unie svobody-Demokratická unie,US-DEU,US-DEU,45,313,2.91,0,0,2002
292,Syrový Jan,,31,Str.pro otevřenou společnost,SOS,BEZPP,4,1732,2.51,1,0,2002
293,Šabková Ivana Mgr.,Mgr.,45,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,7,919,2.44,7,0,2002
294,Šatra Petr Ing.,Ing.,42,Unie svobody-Demokratická unie,US-DEU,US-DEU,3,751,6.98,0,0,2002
295,Šebková Zdeňka Ing.,Ing.,37,Sdružení nezávislých,SNK ED,BEZPP,40,1236,1.94,35,0,2002
296,Šenkýř Vladimír Ing.,Ing.,59,Česká str.sociálně demokrat.,ČSSD,ČSSD,9,2155,2.54,5,1,2002
297,Šetlíková Radka,,32,Komunistická str.Čech a Moravy,KSČM,KSČM,25,3690,2.21,11,0,2002
298,Ševčík Arnošt,,45,Str.pro otevřenou společnost,SOS,KSČM,13,1592,2.3,8,0,2002
299,Šikl Josef,,65,Sdružení nezávislých,SNK ED,BEZPP,25,1497,2.35,20,0,2002
300,Šíma Ervín,,46,Národně demokratická strana,NDS,BEZPP,9,100,6.45,0,0,2002
301,Šíma Ervín,,18,Národně demokratická strana,NDS,BEZPP,14,95,6.12,0,0,2002
302,Šindelář Jan,,33,Občanská demokratická strana,ODS,ODS,15,3096,2.19,6,0,2002
303,Šindler Jaroslav,,25,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,35,671,1.78,32,0,2002
304,Škuthan Zdeněk,,40,Sdružení nezávislých,SNK ED,BEZPP,31,1260,1.98,26,0,2002
305,Šmejkal Štěpán,,18,Česká str.sociálně demokrat.,ČSSD,ČSSD,43,1616,1.91,36,0,2002
306,Šmejkalová Eva Ing.,Ing.,43,Česká str.sociálně demokrat.,ČSSD,ČSSD,5,2200,2.6,4,1,2002
307,Štefko Jan,,46,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,20,903,2.4,18,0,2002
308,Štěpánková Eva,,51,Unie svobody-Demokratická unie,US-DEU,US-DEU,13,432,4.01,0,0,2002
309,Štípek Jiří,,35,Unie svobody-Demokratická unie,US-DEU,BEZPP,27,339,3.15,0,0,2002
310,Šťovíček Zdeněk,,59,"Koalice KDU-ČSL, SZ",KDU-ČSL,BEZPP,42,324,1.85,0,0,2002
311,Šuba Štěpán,,49,Str.pro otevřenou společnost,SOS,BEZPP,42,1308,1.89,37,0,2002
312,Šulc Jiří Ing.,Ing.,44,Občanská demokratická strana,ODS,ODS,6,3861,2.73,2,1,2002
313,Švec Josef Ing.,Ing.,44,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,14,885,2.35,13,0,2002
314,Švendová Libuše,,50,Občanská demokratická strana,ODS,ODS,12,3200,2.26,3,0,2002
315,Tačner Jaroslav,,53,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,12,810,2.15,11,0,2002
316,Tajzich Jaroslav,,76,Česká str.sociálně demokrat.,ČSSD,ČSSD,45,1453,1.71,38,0,2002
317,Techlovský Pavel,,55,"Koalice KDU-ČSL, SZ",KDU-ČSL,BEZPP,27,370,2.12,0,0,2002
318,Tomancová Eva,,33,Občanská demokratická strana,ODS,ODS,30,3047,2.16,19,0,2002
319,Tomek Miloslav Ing.,Ing.,72,Komunistická str.Čech a Moravy,KSČM,KSČM,5,3769,2.26,5,1,2002
320,Tomíček Jaroslav,,48,"Koalice KDU-ČSL, SZ",SZ,BEZPP,41,304,1.74,0,0,2002
321,Tomíčková Jitka,,43,"Koalice KDU-ČSL, SZ",SZ,BEZPP,44,277,1.58,0,0,2002
322,Tomko Michal,,34,Str.pro otevřenou společnost,SOS,BEZPP,24,1490,2.15,19,0,2002
323,Traxmandl Jiří Ing.,Ing.,42,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,42,851,2.26,39,0,2002
324,Traxmandl Luděk Ing.,Ing.,44,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,6,1219,3.24,3,1,2002
325,Trešl Eduard,,39,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,33,680,1.81,30,0,2002
326,Trpák Josef,,68,Str.pro otevřenou společnost,SOS,BEZPP,38,1315,1.9,33,0,2002
327,Třešňák Jan Ing.,Ing.,53,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,11,883,2.35,10,0,2002
328,Tříska Jiří Ing.,Ing.,60,Česká str.sociálně demokrat.,ČSSD,ČSSD,2,2072,2.45,6,1,2002
329,Ublanič Milan,,42,"Koalice KDU-ČSL, SZ",KDU-ČSL,BEZPP,40,301,1.72,0,0,2002
330,Ulrichová Lenka,,21,Sdružení nezávislých,SNK ED,BEZPP,32,1256,1.97,27,0,2002
331,Urban Tomáš,,45,"Koalice KDU-ČSL, SZ",SZ,SZ,13,352,2.01,0,0,2002
332,Vacková Alice Mgr.,Mgr.,38,Sdružení nezávislých,SNK ED,BEZPP,5,1632,2.56,3,0,2002
333,Vagaši Ján JUDr.,JUDr.,62,Komunistická str.Čech a Moravy,KSČM,KSČM,2,3955,2.37,2,1,2002
334,Vajshajtl Stanislav,,33,Str.pro otevřenou společnost,SOS,BEZPP,7,1677,2.43,4,0,2002
335,Valenta Rudolf,,61,Národně demokratická strana,NDS,NDS,1,110,7.09,0,0,2002
336,Valvoda Petr Ing.,Ing.,31,Národně demokratická strana,NDS,BEZPP,3,126,8.12,0,0,2002
337,Váňa Ivan Ing.,Ing.,60,Občanská demokratická strana,ODS,ODS,19,3677,2.6,4,1,2002
338,Vávra Jiří Ing.,Ing.,44,Str.pro otevřenou společnost,SOS,BEZPP,35,1446,2.09,30,0,2002
339,Vecková Jindřiška,,60,Česká str.sociálně demokrat.,ČSSD,ČSSD,41,1628,1.92,34,0,2002
340,Venclíček Bohumil,,47,Strana za životní jistoty,SŽJ,SŽJ,2,237,56.83,0,0,2002
341,Vinklerová Denisa,,18,"Koalice KDU-ČSL, SZ",KDU-ČSL,BEZPP,35,301,1.72,0,0,2002
342,Vobejdová Zdeňka,,52,"Koalice KDU-ČSL, SZ",KDU-ČSL,BEZPP,29,345,1.97,0,0,2002
343,Vojtěch Václav,,65,Str.pro otevřenou společnost,SOS,BEZPP,32,1406,2.03,27,0,2002
344,Vomáčka Pavel Ing.,Ing.,43,Str.pro otevřenou společnost,SOS,US-DEU,17,1501,2.17,12,0,2002
345,Votava František Ing.,Ing.,61,Česká str.sociálně demokrat.,ČSSD,ČSSD,15,1927,2.27,9,0,2002
346,Vozka Vlastimil Ing.,Ing.,48,Str.pro otevřenou společnost,SOS,BEZPP,1,2071,3.0,2,1,2002
347,Vreštiaková Marta,,55,Česká str.sociálně demokrat.,ČSSD,ČSSD,4,2027,2.39,1,0,2002
348,Vykouk Jaromír,,23,Občanská demokratická strana,ODS,BEZPP,45,2538,1.79,34,0,2002
349,Vykouk Jiří,,53,Str.pro otevřenou společnost,SOS,BEZPP,5,1713,2.48,2,0,2002
350,Wachtel Antonín Ing.,Ing.,39,Česká str.sociálně demokrat.,ČSSD,ČSSD,11,1961,2.32,5,0,2002
351,Weiss Pavel Mgr.,Mgr.,53,Sdružení nezávislých,SNK ED,BEZPP,1,2849,4.48,1,1,2002
352,Weissová Tereza Bc.,Bc.,22,Sdružení nezávislých,SNK ED,BEZPP,44,1210,1.9,39,0,2002
353,Zahradníček Václav Ing.,Ing.,35,"Koalice KDU-ČSL, SZ",KDU-ČSL,KDU-ČSL,8,529,3.03,0,0,2002
354,Zach Jiří Ing.,Ing.,36,Sdružení nezávislých,SNK ED,BEZPP,27,1303,2.05,22,0,2002
355,Zárubová Pavla,,22,"Koalice KDU-ČSL, SZ",SZ,BEZPP,36,315,1.8,0,0,2002
356,Zatloukal Zdeněk Ing.,Ing.,56,"Koalice KDU-ČSL, SZ",SZ,BEZPP,7,469,2.68,0,0,2002
357,Zeman Jiří,,39,Národně demokratická strana,NDS,BEZPP,6,98,6.32,0,0,2002
358,Zemanová Martina,,36,Národně demokratická strana,NDS,BEZPP,11,95,6.12,0,0,2002
359,Ziegler Bohuslav,,56,Str.pro otevřenou společnost,SOS,BEZPP,37,1334,1.93,32,0,2002
360,Zieglerová Kateřina Ing.,Ing.,26,Str.pro otevřenou společnost,SOS,BEZPP,12,1686,2.44,7,0,2002
361,Zlatohlávková Irena,,45,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,39,683,1.81,36,0,2002
362,Zmeškalová Růžena Ing.,Ing.,53,Česká str.sociálně demokrat.,ČSSD,ČSSD,20,1948,2.3,13,0,2002
363,Žižka Jiří,,64,Občanská demokratická strana,ODS,ODS,20,3089,2.19,9,0,2002
364,Žofka Jaroslav MUDr.,MUDr.,57,Občanská demokratická strana,ODS,ODS,8,3570,2.53,5,1,2002
365,Anderle Miloslav,,46,Sdružení Mostečané Mostu,SOS,BEZPP,37,6006,2.15,19,0,2006
366,Antoš Roman,,43,Sdružení Mostečané Mostu,NK,BEZPP,12,6269,2.25,12,1,2006
367,Augusta Pavel Ing.,Ing.,42,Sdružení pro sport a zdraví,SSZ,SSZ,7,801,2.5,0,0,2006
368,Aulický Václav,,33,Komunistická str.Čech a Moravy,KSČM,BEZPP,17,2890,2.23,9,0,2006
369,Babák Jindřich,,52,Komunistická str.Čech a Moravy,KSČM,KSČM,13,2949,2.2800000000000002,5,0,2006
370,Bachura Milan,,32,SNK Evropští demokraté,SNK ED,BEZPP,40,782,1.85,36,0,2006
371,Balín Vlastimil RSDr.,RSDr.,55,Komunistická str.Čech a Moravy,KSČM,KSČM,1,3408,2.63,1,1,2006
372,Bandová Ludmila,,25,Strana zelených,SZ,BEZPP,40,763,1.9000000000000001,0,0,2006
373,Barcalová Nikol,,29,Strana zelených,SZ,BEZPP,20,864,2.15,0,0,2006
374,Bárta Eduard Ing.,Ing.,48,Občanská demokratická strana,ODS,ODS,7,3752,2.3000000000000003,10,1,2006
375,Barták Oldřich,,23,České hnutí za národní jednotu,ČHNJ,ČHNJ,4,47,6.33,0,0,2006
376,Bártl Vladimír Ing.,Ing.,45,Občanská demokratická strana,ODS,ODS,1,4183,2.56,3,1,2006
377,Bartošová Jana,,62,Komunistická str.Čech a Moravy,KSČM,KSČM,19,2895,2.23,11,0,2006
378,Bečka Zdeněk,,36,SNK Evropští demokraté,SNK ED,SNK ED,38,816,1.93,34,0,2006
379,Belej Milan,,36,Komunistická str.Čech a Moravy,KSČM,KSČM,21,2897,2.24,13,0,2006
380,Belej Radek,,31,Komunistická str.Čech a Moravy,KSČM,KSČM,9,3042,2.35,1,0,2006
381,Beneš Arnošt JUDr.,JUDr.,56,VOLBA PRO MOST,NK,BEZPP,1,1256,3.59,0,0,2006
382,Beneš Milan,,20,Česká str.sociálně demokrat.,ČSSD,ČSSD,28,2175,2.2600000000000002,21,0,2006
383,Beránková Anna Ing.,Ing.,60,Sdružení Mostečané Mostu,NK,BEZPP,33,6103,2.19,15,0,2006
384,Berešová Irena,,52,Komunistická str.Čech a Moravy,KSČM,KSČM,36,2770,2.14,28,0,2006
385,Berger František,,46,Sdružení Mostečané Mostu,NK,BEZPP,19,6244,2.24,1,0,2006
386,Berka Jiří Mgr.,Mgr.,53,SNK Evropští demokraté,SNK ED,BEZPP,24,920,2.18,21,0,2006
387,Bílek Petr,,36,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,12,131,2.2800000000000002,0,0,2006
388,Blažek Jan Mgr.,Mgr.,44,VOLBA PRO MOST,NK,BEZPP,33,774,2.21,0,0,2006
389,Blažková Jitka Mgr.,Mgr.,48,SNK Evropští demokraté,SNK ED,BEZPP,25,925,2.19,22,0,2006
390,Bodnár Dušan,,37,Strana zelených,SZ,SZ,21,836,2.08,0,0,2006
391,Bodnárová Růžena,,36,Strana zelených,SZ,BEZPP,42,732,1.82,0,0,2006
392,Bouda Jakub,,33,SNK Evropští demokraté,SNK ED,SNK ED,5,934,2.21,9,0,2006
393,Bouda Petr,,41,Česká str.sociálně demokrat.,ČSSD,ČSSD,39,2083,2.17,31,0,2006
394,Brabec Miroslav,,58,Sdružení Mostečané Mostu,NK,BEZPP,26,6125,2.19,8,0,2006
395,Brabec Zdeněk,,49,Česká str.sociálně demokrat.,ČSSD,ČSSD,7,2322,2.42,1,0,2006
396,Brančíková Ivana,,41,Česká str.sociálně demokrat.,ČSSD,ČSSD,41,2031,2.11,33,0,2006
397,Breckl Ervín,,49,Sdružení Mostečané Mostu,SOS,BEZPP,18,6208,2.22,18,1,2006
398,Brenk Jan,,55,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,38,121,2.11,0,0,2006
399,Brisuda Jiří,,55,Česká str.sociálně demokrat.,ČSSD,ČSSD,44,2004,2.09,36,0,2006
400,Brzoňová Markéta DiS,,23,Strana zelených,SZ,BEZPP,28,831,2.07,0,0,2006
401,Břečka František,,43,Občanská demokratická strana,ODS,ODS,8,3720,2.2800000000000002,11,1,2006
402,Bubla Zdeněk,,34,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,9,141,2.45,0,0,2006
403,Bubník Petr,,56,VOLBA PRO MOST,NK,BEZPP,15,724,2.07,0,0,2006
404,Cee Jan MUDr.,MUDr.,51,VOLBA PRO MOST,NK,BEZPP,5,1231,3.52,0,0,2006
405,Ceeová Jiřina MUDr.,MUDr.,49,VOLBA PRO MOST,NK,BEZPP,42,790,2.2600000000000002,0,0,2006
406,Cicvárek Jaroslav,,61,Komunistická str.Čech a Moravy,KSČM,KSČM,25,2813,2.17,17,0,2006
407,Cipro Miroslav,,67,VOLBA PRO MOST,NK,BEZPP,45,539,1.54,0,0,2006
408,Čapek Jiří DiS,,25,Občanská demokratická strana,ODS,ODS,16,3648,2.23,6,0,2006
409,Čapková Irena Ing.,Ing.,48,Sdružení Mostečané Mostu,NK,BEZPP,3,6695,2.4,3,1,2006
410,Čech Petr Ing.,Ing.,27,SNK Evropští demokraté,SNK ED,BEZPP,39,863,2.04,35,0,2006
411,Čenkovičová Eva Mgr.,Mgr.,56,SNK Evropští demokraté,SNK ED,BEZPP,29,916,2.17,26,0,2006
412,Čepelák Josef,,47,Sdružení pro sport a zdraví,SSZ,SSZ,33,616,1.92,0,0,2006
413,Čermák Pavel,,41,Sdružení pro sport a zdraví,SSZ,BEZPP,38,550,1.71,0,0,2006
414,Čermák Petr,,54,Sdružení pro sport a zdraví,SSZ,SSZ,32,636,1.98,0,0,2006
415,Černá Eva PhDr.,PhDr.,61,VOLBA PRO MOST,NK,BEZPP,37,684,1.95,0,0,2006
416,Černík Vladimír,,45,Česká str.sociálně demokrat.,ČSSD,ČSSD,31,2200,2.29,23,0,2006
417,Černý Jaroslav,,36,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,17,99,1.72,0,0,2006
418,Červenka Josef Ing.,Ing.,41,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,4,149,2.59,0,0,2006
419,Čihula Petr Bc.,Bc.,36,VOLBA PRO MOST,NK,BEZPP,38,619,1.77,0,0,2006
420,Dalecká Alena MUDr.,MUDr.,51,Sdružení pro sport a zdraví,SSZ,BEZPP,39,718,2.24,0,0,2006
421,Dalecký Roman,,21,VOLBA PRO MOST,NK,BEZPP,12,758,2.16,0,0,2006
422,Dalecký Roman Ing.,Ing.,48,Sdružení pro sport a zdraví,SSZ,BEZPP,40,593,1.85,0,0,2006
423,Dernerová Alena MUDr.,MUDr.,48,SNK Evropští demokraté,SNK ED,BEZPP,3,1695,4.0200000000000005,2,1,2006
424,Dietze Viktor,,43,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,NEZ/DEM,6,188,3.27,0,0,2006
425,Diviš Luděk Ing.,Ing.,38,Sdružení pro sport a zdraví,SSZ,SSZ,2,892,2.7800000000000002,0,0,2006
426,Dobiáš Jan Ing.,Ing.,45,VOLBA PRO MOST,VPM,US-DEU,4,839,2.4,0,0,2006
427,Doušová Jana,,42,Strana zelených,SZ,BEZPP,9,975,2.43,0,0,2006
428,Drien Jiří,,52,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,10,122,2.12,0,0,2006
429,Drtík Daniel MUDr.,MUDr.,35,Občanská demokratická strana,ODS,ODS,17,4043,2.47,7,0,2006
430,Duben Květoslav,,47,Česká str.sociálně demokrat.,ČSSD,ČSSD,35,2150,2.24,27,0,2006
431,Duchoslav Jan,,34,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,29,106,1.84,0,0,2006
432,Dundrová Hana,,29,Strana zelených,SZ,BEZPP,45,659,1.6400000000000001,0,0,2006
433,Dušek Radovan Ing.,Ing.,35,Občanská demokratická strana,ODS,ODS,23,3666,2.24,13,0,2006
434,Efler Jiří,,20,České hnutí za národní jednotu,ČHNJ,BEZPP,9,33,4.44,0,0,2006
435,Erlitzová Alena,,49,Sdružení Mostečané Mostu,NK,BEZPP,15,6319,2.2600000000000002,15,1,2006
436,Ernest František,,61,Komunistická str.Čech a Moravy,KSČM,KSČM,39,2738,2.11,31,0,2006
437,Facuna Jan,,53,České hnutí za národní jednotu,ČHNJ,BEZPP,13,36,4.8500000000000005,0,0,2006
438,Farský Josef,,36,Sdružení pro sport a zdraví,SSZ,BEZPP,37,551,1.72,0,0,2006
439,Farták Ladislav Ing.,Ing.,30,VOLBA PRO MOST,NK,BEZPP,9,810,2.31,0,0,2006
440,Fedič Radek Bc.,Bc.,24,Česká str.sociálně demokrat.,ČSSD,ČSSD,34,2165,2.25,26,0,2006
441,Fekete Pavel,,31,Česká str.sociálně demokrat.,ČSSD,ČSSD,14,2353,2.45,8,0,2006
442,Fencl Miroslav,,44,Sdružení Mostečané Mostu,NK,BEZPP,5,6362,2.2800000000000002,5,1,2006
443,Fiedler Petr,,62,Komunistická str.Čech a Moravy,KSČM,KSČM,38,2752,2.12,30,0,2006
444,Finferlová Alena MUDr.,MUDr.,55,Sdružení pro sport a zdraví,SSZ,BEZPP,9,861,2.69,0,0,2006
445,Forejt Josef Mgr.,Mgr.,72,VOLBA PRO MOST,NK,BEZPP,24,736,2.1,0,0,2006
446,Francková Kateřina,,20,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,43,90,1.56,0,0,2006
447,Fraško Martin,,36,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,NEZ/DEM,1,232,4.04,0,0,2006
448,Fraško Tomáš,,32,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,13,111,1.93,0,0,2006
449,Fukárek Karel,,34,Komunistická str.Čech a Moravy,KSČM,KSČM,26,2834,2.19,18,0,2006
450,Fuksa Jan,,59,Komunistická str.Čech a Moravy,KSČM,KSČM,30,2804,2.16,22,0,2006
451,Gabriš Milan,,49,Sdružení pro sport a zdraví,SSZ,SSZ,14,834,2.6,0,0,2006
452,Gärtner Jaroslav,,51,Sdružení Mostečané Mostu,NK,BEZPP,27,6123,2.19,9,0,2006
453,Gärtnerová Lucie DiS,,25,Strana zelených,SZ,BEZPP,14,915,2.2800000000000002,0,0,2006
454,Gebeltová Jaroslava,,28,SNK Evropští demokraté,SNK ED,BEZPP,35,810,1.92,31,0,2006
455,Giampaoli Karel Bc.,Bc.,33,Česká str.sociálně demokrat.,ČSSD,ČSSD,9,2436,2.54,3,0,2006
456,Gonák Petr,,31,Komunistická str.Čech a Moravy,KSČM,KSČM,45,2509,1.94,37,0,2006
457,Grabowská Anna,,47,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,3,199,3.47,0,0,2006
458,Gregorová Andrea Mgr.,Mgr.,32,VOLBA PRO MOST,NK,BEZPP,32,678,1.93,0,0,2006
459,Gröger Roman,,42,Česká str.sociálně demokrat.,ČSSD,ČSSD,38,2093,2.18,30,0,2006
460,Gřunděl Vladimír,,47,VOLBA PRO MOST,NK,BEZPP,34,649,1.85,0,0,2006
461,Habarta František,,62,VOLBA PRO MOST,NK,BEZPP,43,532,1.52,0,0,2006
462,Hájek Václav,,32,Strana zelených,SZ,BEZPP,35,778,1.94,0,0,2006
463,Hájek Václav,,54,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,42,84,1.46,0,0,2006
464,Hanka Pavel Ing.,Ing.,37,Strana zelených,SZ,BEZPP,3,1118,2.79,0,0,2006
465,Hanková Kamila MUDr.,MUDr.,37,Strana zelených,SZ,BEZPP,18,987,2.46,0,0,2006
466,Hanus Jiří,,36,Sdružení pro sport a zdraví,SSZ,SSZ,20,605,1.8900000000000001,0,0,2006
467,Harant Jiří Ing.Arch.,Ing.Arch.,39,Sdružení pro sport a zdraví,SSZ,SSZ,10,715,2.23,0,0,2006
468,Hauf Rudolf,,53,Strana zelených,SZ,SZ,13,843,2.1,0,0,2006
469,Hauschild Radek,,32,Česká str.sociálně demokrat.,ČSSD,ČSSD,15,2288,2.38,9,0,2006
470,Havlová Kateřina,,29,Strana zelených,SZ,BEZPP,33,793,1.98,0,0,2006
471,Hejduková Marcela,,34,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,44,96,1.67,0,0,2006
472,Hejnalová Jana,,44,Sdružení pro sport a zdraví,SSZ,BEZPP,29,631,1.97,0,0,2006
473,Hengst Karel,,40,Občanská demokratická strana,ODS,ODS,38,3480,2.13,26,0,2006
